Can you suggest ( what buying ) for her birthday?  ( (   )内を正しい英語にして）,Can you suggest what to buy for her birthday?
We asked Mr Oka ( 1 what to  2  when to 3 where to ) place these desks before class.,3
Can you tell me ( 1 what to  2 how to  3 when to  4 where to ) visit him in the hospital.,3
I can't decide ( 1 what to  2 how to  3 when to  4 where to ) wear for the party dress.,1
"あなたにこの機械の使い方を教えましょう。
I'll show (   ) (   ) (   ) use this machine. ",you / how / to
"私は彼らに三味線のひきかたを教えるつもりです。
( I / to / teach / play / will / how / the / them ) shamisen.",I will teach them how to play the shamisen.
"私たちにスタジアムへの行き方を教えてくださいませんか。
( you / us / to / to / could / stadium / get / tell / how / the ) ?",Could you tell us how to get to the stadium?
"何を読んだらいいか私に教えてください。
Please tell me (   ) (   ) (   ).",what / to / read
"私の父はその男性に何を運んだらいいかを教えました。
( the / father / what / my / carry / showed / man / to ).",My father showed the man what to carry.
"私は彼に、いつその事務所を訪れたらいいかを尋ねませんでした。
( visit / the / didn't / to / him / ask / office / I / when ).",I didn't ask him when to visit the office.
"彼は先生にいつ部屋を掃除したらよいかを尋ねました。
He asked his teacher (   ) (   ) (   ) the room.",when / to / clean
"エマはあなたに、どこで彼女に会ったらよいかを言いましたか。
( Emma / meet / tell / where / her / you / did / to ) ?",Did Emma tell you where to meet her?
"あなたは彼女に、どこに行ったらいいか尋ねましたか。
Did you ask her (   ) (   ) (   )?",where / to / go
"私はスポーツ、特にバスケットボールが好きです。
I like sports, (   ) basketball.",especially
"あなたたちの文化についてもっと教えていただけませんか。
( your culture / tell / could / about / more / you / me )?",Could you tell me more about your culture?
"Are there any points to remember when you see rakugo?　－Yes, (   ) (   ).",there / are
"Did many people in the United States think Japanese never laughed?
Yes, (   ) (   ).",they / did
What tickets does Ken have ? ー(   ) (   ) tickets for an English rakugo show.,He   / has
"Does one performer play one character in a rakugo show? ーNo, he or she (   ),",doesn't
How long has Emma been interested in rakugo?　－She (   ) (   ) interested in it (   ) last year.,has / been / since
Kumi has already left home.,久美はすでに家を出ています。
"私はちょうど夕食を作ったところです。
I have (   ) (   ) dinner.",just / cooked
I have just made lunch.,私はちょうど昼食を作ったところだ。
"私たちはちょうどこの部屋を掃除したところです。
We (   ) (   ) (   ) this room.",have / just / cleaned
"久美はちょうど手紙を書いたところです。
Kumi (   ) (   ) (   ) the letter.",has / just / written
"サッカーの試合がちょうど始まったところだ。
The soccer game has (   ) (   ).",just / begun
"健はちょうど駅に着いたところです。
Ken (   ) (   ) (   ) to the station.",has / just / got
I have just ( 1 clean  2 cleaned ) my room.,2
"ラージはちょうど家を出たところです。
( just / Raj / home / left / has ).",Raj has just left home.
Kumi watched the movie. （「～したところです」という文に）,Kumi has ( just ) watched the movie.
"彼はちょうど部屋を掃除したところです。
He (   ) just clened his room.",has
"ちょうど雨がやんだところです。
It (   ) (   ) stopped raining.",has / just
"私は一度も美紀と話したことがありません。
( talked / I've / Miki / never / with ).",I've never talked with Miki.
"私たちはすでに宿題を終えています。
We have (   ) (   ) our homework.",already / done
"健と久美はその歌を一度歌ったことがある。
Ken and Kumi have (   ) the song (   ).",sung / once
"ブラウン先生はオーストラリアを一度訪ねたことがある。
Ms Brown has (   ) Australia (   ).",visited / once
"私は一度これらの絵を見たことがある。
I (   ) (   ) these pictures (   ).",have / seen / once
"私はフランスに１度行ったことがある。
I have (   ) to France (   ).",been / once
Koji has ( 1 see  2 saw  3 seen ) the movie once.,3
Miki ( 1 have read  2 has read ) the book once.,2
"私たちはボブに３回あったことがある。
We (   ) seen Bob three (   ).",have / times
"ポールは歌舞伎を４回見たことがある。
Paul (   ) (   ) kabuki (   ) (   ).",has / seen / four / times
I have eaten natto many times.,私は納豆を何度も食べたことがある。
"ラージはそばを3度作ったことがある。
Raj (   ) (   ) soba (   ) (   ).",has / made / three / times
"私たちはその歌を何度も聞いたことがあります。
",We have heard the song many times.
"私はインドに一度行ったことがあります。
( to / India / once / been / I've ).",I've been to India once.
Emma has been to Gifu twice.,エマは岐阜に２回行ったことがある。
Emma has seen kabuki. （「～したことがありますか」という疑問文に）,Has Emma seen kabuki?
Kumi doesn't play criket.　（「一度も～したことがありません」という否定文に）,Kumi has never played criket.
"健は川で釣りをしたことがありますか。
( fishe / Ken / ever / has / in the river )?",Has Ken fished in the river?
あなたは何をなくしてしまったのですか。,What have you lost ?
"あなたはもうそのコンピュータを使いましたか。ーはい。
(   ) you (   ) the computer? - Yes, I have.
",Have / used
"久美はもうその本を読みましたか。ーいいえ。
(   ) Kumi (   ) the book? - No, she (   ).
",Has / read / hasn't
"エマはもう朝食を食べましたか。ーはい。
(   ) Emma (   ) breakfast? - Yes, she (   ).
",Has / eaten / has
"健はもう宿題をしましたか。ーいいえ。
(   ) Ken (   ) his homework? - No, (   ) (   ).
",Has / done / he / hasn't
"あなたはもう切符を買いましたか。
( a ticket / you / have / yet / bought ) ?",Have you bought a ticket yet?
"健とエマはまだ家に帰っていません。
Ken and Emma have (   ) come home (   ).
",not / yet
"健はまだそのCDを聞いていません。
( not / the CD / listened  to / Ken / has / yet ).",Ken has not listened to the CD yet.
Emma has washed the dishes.　（「もう～しましたか」という疑問文に）,Has Emma washed the dishes ( yet ) ?
"私はまだその箱を開けていません。
I have (   ) opened the box (   ).
",not / yet
"ポールはまだその映画を見ていません。
Paul (   ) (   ) seen the movie (   ).",has / not / yet
I took a bath. （ yet を使って「まだ～していません」という否定文に）,I haven't taken a bath yet.
I have just ( 1 arrive  2 arrived ) home.,2
I met Raj's mother.　（文末に three times をつけて現在完了形の文に）,I have met Raj's mother three times.
I ate this fruit. （ before を使った現在完了の文に）,I have eaten this fruit before.
"Has Kimie-san performed rakugo in English for about 20 years?
- Yes, (   ) (   ),",she/ has
"間違いを直して正しい英文を書きなさい。
あなたはちょうど今、家を出たところです。
We have just leave home.",We have just left home.
"間違いを直して正しい英文を書きなさい。
もうお昼ごはんは食べましたか。
Did you eated lunch yet?",Have you eaten lunch yet?
"間違いを直して正しい英文を書きなさい。
金沢に行ったことはありますか。
Have you ever went to Kanazana?",Have you ever been to Kanazawa?
"間違いを直して正しい英文を書きなさい。
ぼくはその映画を一度もみたことがありません。
I've ever seen the movie.",I've never seen the movie.
"日本にはどれくらい長く住んでいるのですか。
( have / how / in Japan / lived / long / you ) ?",How long have you lived in Japan?
"Is tenugui used as many things in a rakugo show? ー Yes, (   ) (   ).",it / is
"落語では、手ぬぐいと扇子が使われます。
( in / used / are / a rakugo show / a tenugui and a sensu ).",A tenugui and a sensu are used in a rakugo show.
"Why does Kimie-san sometimes have to explain Japanese habits in her shows?
- (   ) some of them (   ) different from other cultures.",Because / are
"健はそのニュースを聞いて驚いた。
Ken (   ) (   ) (   ) hear the news.",was / surprised / to
"アンディはパーティに参加してうれしかった。
Andy ( the party / join / glad / to / was ).",Andy was glad to join the party.
"恵美はその手紙を読んで悲しみました。
Emi ( the letter / read / sad / was / to ).",Emi was sad to read the letter.
"私はあなたに会えてうれしい。
I am glad (   ) see you.",to
"私たちはまたあなたにお会いできてうれしいです。
We are happy (  ) (   ) you again.",to / see
"リカはその手紙を読んで驚いた。
Rika ( the letter / read / surprised / to / was ).",Rika was surprised to read the letter.
"父は彼の話を聞いて怒りました。
My father get angry (   ) (   ) his story.",to / hear
"あなたと話せてうれしい。
I ( you / talk / glad / am / to / with ).",I am glad to talk with you.
"私はそれを聞いて残念に思いました。
I was sorry (   ) (   ) that.",to / hear
"私はその知らせを聞いて悲しかった。
I ( the news / hear / sad / to / was ).",I was sad to hear that.
"私たちはその話を聞いて悲しく思いました。
We were ( the story / sad / hear / to ).",We were sad to hear the story.
"What did Kimie-san want to share with people all over the world?
- She (   ) (   ) share Japanese humor.",wanted / to
"What is Kimie-san's next plan?
- (   ) (   ) (   ) continue spreading laughter all over the world.",It / is / to
"彼女は今、落語の公演を行うためにアメリカにいます。
( in the USA now / give / is / rakugo shows / to / she ).",She is in the USA now to give rakugo shows.
"Will Emma go to the rakugo show with Ken? ーYes, (   ) (   ).",she / will
"この場所は私の村を思いださせる。
( reminds / place / of / my / me / this / village ).",This place reminds me of my village.
"父は私をマユと呼びます。
My father (   ) (   ) Mayu.",calls / me
"ぼくをボブと呼んでください。
Please (   ) (   ) Bob.",call / me
"私たちは彼をマルチャンと呼んでいます。
( we / Maruchan / call / him ).",We call him Maruchan.
"妹はうちのネコをビビと呼んでいます。
( calls / my sister / Bibi / our cat ).",My sister calls our cat Bibi.
"ぼくたちは彼女をサチと呼んでいます。
We (   ) (   ) Sachi.",call / her
"私はあなたをどう呼んだらよいですか。
(   ) do I (   ) you ?",What / call
"サヤカは私のことをヤッホーって呼ぶの。
Sayaka (   ) (   ) Yahho.",calls / me
"この本で私は幸せな気持ちになる。
This book (   ) (   ) (   ).",makes / me / happy
"私が子どものとき、父は私をトシと呼んでいました。
My father (   ) (   ) Toshi (   ) I (   ) a child.",called / me / when / was
"この建物をなんと呼びますか。
( do / what / call / you / this building )?",What do you call this building?
"みんなは彼を史上最高のサッカー選手と呼びます。
( player / calls / everyone / soccer / best / him / the ) in history.",Everyone calls him the best player in history. 
"私は彼女をすばらしい勝者だと呼ぶことができると思います。
I ( I / a great winner / can / call / think / her ).",I think I can call her a great winner.
"先生はぼくのことをダイと呼びます。
My teacher (   ) (   ) (   ).",calls / me / Dai
"ニューヨークってthe Big Apple って呼ぶの？
(   ) you (   ) New York ""the Big Apple""?",Do / call
"私たちは彼を健と呼ぶ。
We (   ) (   ) Ken.",call / him
"ニューヨークってthe Big Apple って呼ぶの？
( New York /  ""the Big Apple"" / call / you / do )?","Do you call New York ""the Big Apple""?"
"私たちは彼女をサキちゃんと呼ぶ。
We (   ) her Saki-chan.",call
"ブラウン先生は私をトムと呼びます。
Ms Brown ( Tom / calls / me).",Ms Brown calls me Tom.
"私をエマと呼んでください。
( Emma / call / please / me ).",Please call me Emma.
"私は祖父を「歩く辞書」と呼んでいます。
(   ) (   ) my grandfather a ""walking dictionary"".",I / call
"私の名前はトモサブロウですが、友達は私をサブと呼びます。
My name is Tomosaburo but my friends (   ) (   ) Sabu.",call / me
"ケンと呼んでください。
Please (   ) (   ) Ken.",call / me
"私はいつも自分の部屋をきれいにしています。
I always (   ) my room (   ).",keep / clean
"読書をすると眠くなります。（＝読書は私を眠くさせます。）
Reading (   ) (   ) (   ).",makes / me / sleepy
"この歌はぼくを幸せにします。
This song (   ) (   ) (   ).",makes / me / happy
"その知らせは私たちを悲しませました。
The news (   ) (   ) (   ).",made / us / sad
"これをもっと使いやすくしよう。
Let's (   ) this (   ) (   ).",make / more /useful
"あなたの笑顔は私を強くします。
( me / your smile / strong / makes ).",Your smile makes me strong.
"そのニュースで私たちは悲しくなった。
The news (   ) us (   ).",made / sad
"私は子どもたちを幸せにしたい。
( happy / want / I / children / make / to ).",I want to make children happy.
"踊ることが彼を特別にしているんです。
Dancing (   ) (   ) special.",makes / him
"どうして彼女はあんなに人気が出たのかな。
(   ) (   ) (   ) so popular?",What / made / her
"その手紙は彼女を怒らせました。
The letter ( her / angry / made ).",The letter made her angry.
"何がエマを取り乱させますか。
( upset / makes / what / Emma )?",What makes Emma upset?
"私は、コンピュータは私たちの生活を便利にしてくれると思います。
( our life / I / computers / convenient / make / think ).",I think computers make pur life convenient.
"その映画はみんなを悲しくさせた。
( everyone / the / made / sad / movie ).",The movie made everyone sad.
"彼の長いスピーチが私を眠くさせた。（彼のスピーチで眠くなった）
( made / his / speech / me / long / sleepy ).",His long speech made me sleepy.
"映画を見ることでラージは幸せになる。
(   ) movies (   ) Raj (   ).",Watching / makes / happy
"その話は私たちを驚かせました。
( surprised / us / the story / made ).",The story made us surprised.
"何があなたをそんなに怒らせているのですか。
( what / so angry / makes / you )?",What makes you so angry?
These pictures ( 1 make I  2 make me ) sad.,2
We ( 1 call  2 talk  3 say ) the cat Momo.,2
"この建物は建てられたばかりです。
This building (   ) just (   ) (   ).",has / been / built
"あの星に願い事をしよう。
Let's (   ) a (   ) on the star.",make / wish
"それは過去の恐ろしい経験を私たちに思い出させます。
That reminds us (   ) the terrible experience of the (   ).",of / past
"この歌は将来への希望を表現しています。
This song (   ) the (   ) for future.",expresses / hope
"私はこのことが再び起こらないことを願います。
I hope this won't (   ) (   ).",happen / again
"あなたは大きくなったら何になりたいですか。
What do you want to be when you (   ) (   )?",grow / up
"島の木はこれらの少なくとも樹齢1000年です。
These trees on the island are (   ) (   ) 1,000 years old.",at / least
"これはタカでなく、フクロウです。
This is (   ) a hawk (   ) an owl.",not / but
"早く良くなることを願っています。
I hope you will (   ) (   ) soon.",get / well
"私たちは戦争の悲劇を決して忘れてはいけません。
( the tragedy / we / of / must / forget / never ) war.",We must never forget the tragedy of war. 
"私たちは次はもっと気をつけるべきです。
We (   ) (   ) more careful next time.",should / be
"私たちはインターネットで世界中からのニュースを見ることができます。
( watch / around / we / the world / from / news / can ) through the Internet.",We can watch news from around the world through the Internet.
"夕食を食べ終わったらゲームをしてもいいですよ。
( play / after / finish / you / you / can / eating / games ) dinner.",You can play games after you finish eating dinner.
"食べ過ぎることは健康によくありません。
( eat / not / too much / to / it's / good / your health / for ).",It's not good for your health to eat too much.
"ユカが夕食を作ることは簡単です。
( it / to / for / is / Yuka / cook / dinner / easy ).",It is easy for Yuka to cook dinner.
"僕が自転車に乗るのは難しいです。
( a bike / is / for me / ride / difficult / to / it ).",It is difficult for me to ride a bike.
"私がこの本を作るのは本当に大変でした。
( really hard / for / to / me / make / was / this book / it ).",It was really hard for me to make this book.
"ぼくが夜更かしするのは難しいんだ。
( stay up late / difficult / me / is / it / for /to ).",It is difficult for me to stay up late.
"一度にあまり食べすぎると健康によくない。
( bad / your health / to / it / eat / for　/ is ) too much at one time.",It is bad for your health to eat too much at one time.
"It is easy to sing this song. （否定文に）
",It isn't easy to sing this song.
"兄にとって自分の部屋をきれいにしておくのは難しい。
( my brother / to / clean / difficult / his room / it's / keep / for).",It's difficult for my brother to keep his room clean.
"早く起きることは私にとって大変です。
(   ) is hard (   ) me (   ) get up early.",It / for / to
"カレーを作ることは彼にとって簡単です。
(   ) is easy (   ) (   ) (   ) cook curry.",It / for / him / to
"エマにとって中国語で手紙を書くのは難しい。
It's (   ) (   ) Emma (   ) write a letter in Chinese.",difficult / for / to
"私が空を飛ぶことは不可能です。
( fly / impossible / me / it's / for / to /  in the sky ).",It's impossible for me to fly in the sky.
"私たちにとって地球について考えることは重要だ。
It's (   ) (   ) us (   ) think about the Earth.",important / for / to
"Traveling around the world is ingteresting for me.
It's interesting (   ) me (   ) travel around the world.　（ほぼ同じ内容を表す文に）",for / to
"久美がベストを尽くすことは必要です。
( her best / necessary / to / Kumi / it's / for / do ).",It's necessary for Kumi to do her best.
"ポールにとって歌を歌うのは楽しい。
It's fun (   ) Paul (   ) sing a song.",for / to
"私が早く起きることは簡単です。
It is easy ( get up / me / for / to / early).",It is easy for me to get up.
"私が本を読むのは必要です。
It is necessary ( read / for / to / me ) books.",It is necessary for me to read books.
"健にとって数学を勉強するのは面白い。
(   ) interesting (   ) Ken (   ) study math.",It's / for / to
"世界の異なる文化を学ぶことは有益です。
( is / useful / learn / it / different cultures / to ) in the world.",It is useful to learn different cultures in the world.
"彼が人生の中で選択をすることは不可能でした。
( impossible / make / him / was / for / to / it ) choices in his life.",It was impossible for him to make choices in his life.
"あなたにとって勉強することは大切です。
(   ) is (   ) (   ) you (   ) study.",It / important / for / to
"私は古い町を歩き回るのが楽しい。
( is / fun / to / around / me / it / walk / for ) old towns.",It is fun for me to walk around old towns.
"英語を学ぶのは面白い。
(   ) is interesting (   ) (   ) English.",It / to / learn
"笑うことは大切です。
( laugh / is / important / it / to ).",It is important to laugh.
"そんなことするのはよくないぞ！
( isn't / good / do / it / that / to )!",It isn't good to do that!
"外国語を学ぶことは面白いです。
( to / interesting / it / a foreign language / is / learn ).",It is interesting to learn a foreign language.
"一人旅するのは楽しかったよ！
( travel / exciting / alone / it / to / was ).",It was exciting to travel alone.
"読書をするのは大切です。
( read / important / books / is / it / to).",It is important to read books.
It is difficult ( 1 getting  2 to get ) up at six.,2
It is interesting ( 1 to  2 for  3 of ) me to use a computer.,2
"ほぼ同じ内容になるよう書き換えなさい。
To go shopping is fun for me.
It (   ) fun (   ) me (   ) go shopping.",is / for / to
"ほぼ同じ内容になるよう書き換えなさい。
To contact her is impossible for him.
(   ) (   ) for (   ) (   ) contact her.",It's / impossible / him / to
"ほぼ同じ内容になるよう書き換えなさい。
To have breakfast every day is important.
(   ) (   ) (   ) (   ) have breakfast every day.",It / is / important / to
"To think about our dream is important to us.
It's important (   ) us (   ) think about our dream.　（ほぼ同じ内容を表す文に）",for / to
"彼は海外へ行くには若すぎました。
He was ( young / go / to / too ) abroad.",He was too young to go abroad.
"彼は海外へ行くには若すぎました。
It was ( him / for / young / go / to / too ) abroad.",It was too young for him to go abroad.
It is interesting for Tom to study history. （疑問文に）,Is it interesting for Tom to study history?
"It is easy to do the work.（否定文に）
It (   ) (   ) easy to do the work.",is / not
"It is difficult for you to play the guitar.（疑問文に）
(   ) (   ) difficult for you to play the guitar?",Is / it
"It was necessary for him to finish the homework.（疑問文に）
(   ) (   ) necessary for him to finish the homework?",Was / it
It is fun for us to talk with the students. （過去の文に）,It was fun for us to talk with the students.
"It is hard for Jack to get up at five.（過去の文に）
(   ) (   ) hard for Jack to get up at five.",It / was
"私は忙しすぎて昼食を食べることができません。
I am (   ) busy to eat lunch.",too
"This book is too difficult for me to understand.
This book is (   ) difficult (   ) I (   ) understand it.",so / that / can't
"その男の子はとても疲れていたので歩けませんでした。
The boy was too tired (   ) walk.",to
"The tea was too hot for me to drink.
This tea was (   ) hot (   ) I (   ) drink it.",so / that / couldn't
This book is too difficult for me to understand.,この本は難しすぎて私には理解できません。
"The box is too heavy for me to carry.
This box is (   ) heavy (   ) I (   ) carry it.",so / that / can't
The box is too heavy for me to carry.,その箱は重すぎて私には運べない。
"これは私を幸せにしてくれる本です。
This is  a book (   ) (   ) me happy.",that [ which ] / makes
"これはとても速く走る車です。
This is a car (   ) (   ) very fast.",that [ which ] / runs
"俊介は彼女によって書かれた手紙を読みました。
Shunsuke read a letter ( 1 which  2 who ) was written by her.",1
"私は柔道を学びたがっている男の人を知っている。
I know a man (   ) (   ) (   ) (   ) judo.",who [ that ] / wants / to / learn
"私は日本語を話す男の人を知っている。
I know a man (   ) (   ) Japanese.",who [ that ] / speaks
"私は京都についてたくさん知って男の人を知っている。
I know a man (   ) (   ) (   ) (   ) about Kyoto.",who [ that ] / knows / a / lot
"これは私たちの町を示す地図です。
This is a map (   ) (   ) our town.",that [ which ] / shows
"これは3色があるペンです。
This is a pen (   ) (   ) three colors.",that [ which ] / has
"あれは先週美保が撮った写真です。
( a / is / Miho / picture / that / took / which ) last week.",That is a picture which Miho took last week.
"これは子どもたちの間で人気のあるおもちゃですか。
Is this a toy (   ) (   ) popular among children?",that [ which ] / is
"これは名古屋に行く電車ですか。
( goes / is / that / a / this / train / to ) Nagoya?",Is this a train that goes to Nagoya?
"リサは私に私がまだ読んでいない本をくれるでしょう。
Lisa ( books / give / have / I / me / not / will / read / that ) yet.",Lisa will give me books that I have not read yet.
"図書館とは、たくさんの本を維持している場所である。
A library is a place (   ) (   ) a lot of books in (   ).",which [ that ] / keeps / it
"私は眠くなるような難しい本は読みたくない。
I don't like to read difficult books (   ) (   ) me (   ).",which [ that ] / make / sleepy
"これらは太陽のエネルギーを集めるパネルです。
These are panels (   ) (   ) solar energy.",that [ which ] / collect
"訪問者とは、ある場所を訪れるに来る人々のことである。
Visitors are the people (   ) (   ) (   ) visit a place.",who [ that ] / come / to
"彼女は24時間開いているレストランへ行きました。
( a / opens / restaurant / she / to / went / which ) twenty- four hours.",She went to the restaurant which opens twenty-four hours.
"あなたはフランス語を話せる人をだれか知っていますか。
( can / do / know / someone / speak / who / you ) French?",Do you know someone who can speak French?
"彼女はだれか、彼女の音楽をすごく愛してくれる人に会いたがっている。
She hopes to meet someone (   ) (   ) her music very much.",who / loves 
"私たちは私たちの学校へ来た外国の生徒たちに話しかけました。
We spoke to foreign students ( 1 which  2 who ) came to our school.",2
"私たちは飛べない鳥について学びました。
We learned about ( birds / cannot / fly / that / the ).",We learned about the birds that cannot fly.
"これは私が先週買った本です。
This is the book (   ) (   ) (   ) last week.",that [ which ] / I / bought
"地図を持った子どもはエミに道を尋ねました。
The child ( 1 which  2 who ) had a map asked Emi the way.",2
"これは私が今朝終わらせた宿題です。
This is the homework (   ) (   ) (   ) this morning.",that [ which ] / I / finished
"エマが彼女の家族と話す言葉は英語です。
The language ( 1 which  2 who ) Emma speaks with her family is English.",1
"これは私が昨夜書いた手紙です。
This is the letter (   ) (   ) (   ) last night.",that [ which ] / I / wrote
"あなたがきのう見た男性は私のおじです。
The man ( 1 which  2 that ) you saw yesterday is my uncle.",2
"これは私たちが本当に訪れたいと思っていた場所です。
This is the place (   ) (   ) really wanted to visit.",that [ which ] / we
"これは私が昨日彼女にあげたプレゼントです。
This is the present (   ) (   ) (   ) (   ) yesterday.",that [ which ] / I / gave / her
"彼らが乗った電車は大阪へ行きませんでした。
The train ( 1 that  2 who ) they took didn't go to Osaka.",1
This old woman is the teacher.  She taught ikebana to us. （ who を使って一文に）,This old man is the teacher who taught ikebana to us.
Naoya has many foreign friends. He met them in the United States. ( that を使い一つの文に）,Naoya has many foreign friends that he met in the United States.
"彼女は外国語で書かれた本をたくさん持っています。
She has many books  ( 1 that are  2 that is ) written in foreign language.",1
"あの通りに立っている建物は図書館です。
The building ( 1 is that  2 that is ) standing on that street is a library.",2
"私は高価ではない腕時計を買いたい。
I want to buy a ( 1 that watch  2 watch that ) is  not expensive.",2
"私は高価ではない腕時計を買いたい。
I want to buy a ( 1 that watch  2 watch that ) is  not expensive.",2
I will show you some pictures.  I took them in Australia last winter. ( 関係代名詞を使い一つの文に）,I will  show you some pictures that [ which ] I took in Australia last winter.
We sang some songs. They were sung by a famous singer. ( that を使い一つの文に）,We sang some songs that were sung by a famous singer.
The apple pie is very good.  My sister made it yesterday. ( 関係代名詞を使い一つの文に）,"The apple pie that [ which ] my sister made yesterday is very good,"
There is a park.  It has a small pool. ( that を使い一つの文に）,There is a park that has a small pool.
You can see the house with a blue wall. （ 同じ内容の文をwhich を使って）,You can see the house which has a blue wall.
"
あれ、昨日オープンしたパン屋さんだ。（英訳しなさい）",That's a bakery that opened yesterday.
"私は音楽が好きな犬を飼っています。
(that/ have/ music/ likes/ a dog/ I/.)",I have a dog that likes music.
"
彼女は、ぼくを幸せにする夕食を作ってくれるんだ。（英訳しなさい）",She makes dinner that makes me happy.
"
歌うのが上手な人、だれか知ってる？（英訳しなさい）",Do you know someone that sings well?
"隣に住んでいる男の子はとても背が高いです。
(lives next door/ the boy/ very tall/ that/ is/.)",The boy that lives next door is very tall.
これ描いた男の子、３歳なんだよ。（英訳しなさい）,The boy that drew this is 3 years old.
"
冷蔵庫にあったケーキ、だれが食べたの？！（英訳しなさい）",Who ate the cake that was in the fridge?
"テーブルの上にあったピザを食べましたか。
(the pizza/ eat/ on the table/ that/ was/ did you/?)",Did you eat the pizza that was on the table?
"あなたを幸せにする歌は何ですか。
(happy/ makes/ is/ you/ what/ that/ the song/?)",What is the song that makes you happy?
My mother wants a new washing machine. It can help her more. ( that を使い一つの文に）,My mother wants a new washing machine that can help her more.
"黄色いかばんを持っている女の子
(has/ that/ a yellow bag/ the girl)",the girl that has a yellow bag
"いい写真が撮れるカメラ
(that/ a camera/ good pictures / can take)",a camera that can take good pictures
"5分前にここにいた男の人
(was here/ the man/ five minutes ago/ that)",the man that was here  five minutes ago
"黄色いかばんを持っている女の子がミサです。
(  ) (  ) (  ) (  ) (  ) (  ) (  ) is Misa.",The girl that has a yellow bag is Misa.
"ぼくは、いい写真が撮れるカメラがほしいです。
I want (  ) (  ) (  ) (  ) (  ) (  ) (  ).",I want a camera that can take good pictures.
"5分前にここにいた男の人はどこですか。
Where is (  ) (  ) (  ) (  ) (  ) (  ) (  ) (  )?",Where is the man that was here five minutes ago?
"隣に住んでいる女の子
(lives next door/ the girl/ who)",the girl who lives next door
"この本を書いた男の子
(wrote this book/ who/ the boy)",the boy who wrote this book
"昨日作られたカレー
(which/ yesterday/ the curry/ was made)",the curry which was made yesterday
"あれは、隣に住んでいる女の子です。
That is (  ) (  ) (  ) (  ) (  ) (  ).",That is the girl who lives next door.
"隣に住んでいる女の子は背が高いです。
(  ) (  ) (  ) (  ) (  ) (  ) is tall.",The girl who lives next door is tall.
"私は、この本を書いた男の子を知っています。
I know (  ) (  ) (  ) (  ) (  ) (  ).",I know the boy who wrote this book.
"この本を書いた男の子は、私たちの学校の出身です。
(  ) (  ) (  ) (  ) (  ) (  ) is from our school.",The boy who wrote this book is from our school.
"昨日作られたカレーはおいしいです。
(  ) (  ) (  ) (  ) (  ) (  ) is delicious.",The curry which was made yesterday is delicious.
"彼女は本当にサッカーが大好きな女の子です。
(really loves/ she/ who/ the girl/ is/ soccer/.)",She is the girl who really loves soccer.
"京都駅に行くバスはありますか。
(goes/ is there/ which/ to Kyoto Station/ a bus)",Is there  a bus which goes Kyoto Station?
"これは、ぼくは毎日使っているグローブです。
This is (  ) (  ) (  ) (  ) (  ) (  ) (  )",This is the glove that I use every day.
"私たちが昨夜見た映画はつまらなかったです。
(  ) (  ) (  ) (  ) (  ) (  ) (  ) was boring.",The film that we saw last night was boring.
"父が作るカレーはとてもおいしいです。
(  ) (  ) (  ) (  ) (  ) (  ) is very good.",The curry which my father makes is very good.
"これは、姉が使っていた辞書です。
(that/ is/ a dictionary/ this/ used/ my sister/.)",This is a dictionary that my sister used.
"ぼくは、おばあちゃんが作るおにぎりが好きです。
(my grandmother/ like/ I/ that/ onigiri/ makes/ .)",I like onigiri that my grandmother makes.
"私がふだん使っているパソコンはこれです。
(I/ this one/ the computer/ usually/ is/ use/ which/ .)",The computer which I usually use is this one.
"あなたが私にくれた本は、とてもおもしろかったです。
(was/ gave/ intersting/ the book/ which/ me/ very/ you/ .)",The book which you gave me was very intersting.
"
私、大阪に住んでいる友達がいるよ。（英訳しなさい）",I have a friend who lives in Osaka.
"
読書する人はことばを多く知ってるんだ。（英訳しなさい）",People who read know many words.
"
いつも笑ってる子が好きだな。（英訳しなさい）",I like a girl who is always smiling.
"
これが、彼を有名にした曲です。（英訳しなさい）",This is the song which made him famous.
"
東京に行くバスはまだありますか。（英訳しなさい）",Is there still a bus which goes to Tokyo?
"
あれ、ユウタが好きな女の子だよ。（英訳しなさい）",That is the girl that Yuta likes.
"
今読んでる本、つまんないの。（英訳しなさい）",The book which I'm reading now is boring.
"
アキラが作ったお城はすごかったんだよ。（英訳しなさい）",The castle which Akira made was great.
"ぼくが毎日使っているグローブ
(I/ the glove/ every day/ use/ that)",the glove that I use every day
"私たちが昨夜見た映画
(last night/ that/ saw/ the film/ we)",the film that we saw last night
"父が作るカレー
(maked/ which/ my father/ the curry)",the curry which my father makes
"
何か嫌いな食べ物ある？（英訳しなさい）",Is there any food that you don't like?
"
みんなが好きな歌って何だろう？（英訳しなさい）",What's the song that everyone likes?
"おじが、ケニアに住んでるんです。
My (  ) lives in Kenya.",(uncle)
"何の動物がいちばん好き？
(  ) (  ) do you like the best?",(What) (animal)
"絵はがきありがとう！
Thank you for your (  ).",(postcard)
"野生の象を見たことはありますか？－いいえ、ありません。
Have you ever (  ) an elephant in the (  )? -No, I haven't.",(seen) (wild)
"今日、ナンシーにメールを送ったよ。
Today, I (  ) an e-mail to Nancy.",(sent)
"私、校長室に行ったことない。
I have never (  ) to the (  ) office.",(been) (principal's)
"アフリカへの旅行は、エキサイティングにちがいないね！
The trip to Africa (  ) (  ) exciting!",(must) (be)
